User_id,First_tran_date,Location,Age,Gender
44134911,2019/10/05,Ho Chi Minh,>37,MALE
44484055,2019/01/12,Ha Noi,>37,MALE
1405006,2018/04/19,Other Cities,>37,MALE
46473231,2019/03/25,Ho Chi Minh,>37,MALE
42879481,2018/08/11,Ho Chi Minh,>37,MALE
43087381,2018/08/29,Ha Noi,>37,MALE
30335136,2019/11/07,Ha Noi,>37,MALE
52435378,2020/01/11,Ha Noi,>37,FEMALE
52438486,2020/04/18,Ha Noi,>37,FEMALE
54983073,2020/11/29,Other Cities,>37,MALE
3945743,2019/11/06,Other Cities,>37,FEMALE
31252154,2018/04/16,Ho Chi Minh,>37,FEMALE
16161253,2017/01/01,Other Cities,>37,MALE
42738013,2018/08/10,Other Cities,>37,MALE
5546585,2019/08/28,Ho Chi Minh,>37,FEMALE
11299840,2019/11/13,Other Cities,>37,MALE
52249682,2020/06/02,Other Cities,>37,FEMALE
40118927,2019/12/19,Ho Chi Minh,>37,MALE
50280164,2019/11/05,Ho Chi Minh,>37,FEMALE
41148660,2018/02/22,Other Cities,>37,FEMALE
56903215,2020/07/08,Unknown,>37,FEMALE
48196234,2019/07/18,Other Cities,>37,MALE
38978607,2017/05/24,Other Cities,>37,MALE
54314368,2020/05/30,Other Cities,>37,MALE
49776950,2019/10/27,Ho Chi Minh,>37,FEMALE
38379794,2018/06/25,Ha Noi,>37,MALE
43953676,2018/10/27,Ha Noi,>37,FEMALE
49033646,2020/12/27,Ho Chi Minh,>37,MALE
57815316,2020/08/26,Ho Chi Minh,>37,MALE
39294455,2019/02/21,Ho Chi Minh,>37,FEMALE
42623157,2019/06/03,Ho Chi Minh,>37,MALE
49031504,2019/08/31,Ho Chi Minh,>37,MALE
55375260,2020/04/20,Unknown,>37,FEMALE
47489873,2019/06/03,Ho Chi Minh,>37,FEMALE
40716335,2018/07/31,Ho Chi Minh,>37,FEMALE
47644846,2019/07/09,Ho Chi Minh,>37,MALE
51452529,2019/12/06,Other Cities,>37,FEMALE
48398313,2019/12/11,Ho Chi Minh,>37,FEMALE
36481964,2020/07/17,Other Cities,>37,FEMALE
41665919,2018/04/23,Ha Noi,>37,MALE
59089136,2020/10/10,Ha Noi,>37,FEMALE
38598670,2020/06/08,Ha Noi,>37,MALE
45081677,2020/02/13,Other Cities,>37,MALE
14918070,2019/03/19,Ha Noi,>37,FEMALE
46488195,2019/09/17,Ha Noi,>37,FEMALE
42748093,2018/08/05,Unknown,>37,FEMALE
39505055,2019/02/28,Other Cities,>37,MALE
4547752,2020/02/11,Ho Chi Minh,>37,FEMALE
15500435,2018/04/16,Unknown,>37,FEMALE
23905261,2020/01/18,Ho Chi Minh,>37,FEMALE
51899156,2020/01/26,Ha Noi,>37,FEMALE
41177173,2018/06/26,Ho Chi Minh,>37,FEMALE
